adaptive,attempt,axis,candidate_id,control_inclusive_duration_sum_s,control_inclusive_energy_sum_j,decode_frequency_mhz,early_stop_reason,energy_statistic,event,grid_index,input_output_shapes,latency_statistic,measured_energy_j,measured_power_w,prefill_frequency_mhz,probe_id,repeat_index,request_active_duration_sum_s,request_active_energy_sum_j,sample_count,search_stage,slo_met,tpot_ms,ttft_ms,workload_id
True,1,P,production-trigger-small_light-attempt-1-binary-slo-P-8,12.736271142959595,1599.6209883391857,1500,,mean_request_energy_j,probe_candidate_aggregated,8,"[[128, 48], [160, 64], [200, 80]]",p95,483.3389383976658,130.4316143225434,1710,production-trigger-small_light-attempt-1-binary-slo-P-8,,11.116224765777588,1450.0168151929975,3,binary-slo,True,55.99826540833877,175.84432559087873,small_light
True,1,P,production-trigger-small_light-attempt-1-binary-slo-P-3,13.053783655166626,1602.904344573617,1500,,mean_request_energy_j,probe_candidate_aggregated,3,"[[128, 48], [160, 64], [200, 80]]",p95,479.4643706927697,128.92423131134765,1200,production-trigger-small_light-attempt-1-binary-slo-P-3,,11.149662733078003,1438.393112078309,3,binary-slo,True,56.00206529947488,186.49180796928704,small_light
True,1,P,production-trigger-small_light-attempt-1-binary-slo-P-1,12.803251266479492,1590.4206713438034,1500,,mean_request_energy_j,probe_candidate_aggregated,1,"[[128, 48], [160, 64], [200, 80]]",p95,481.6930532852809,129.47559562201027,1005,production-trigger-small_light-attempt-1-binary-slo-P-1,,11.143240928649902,1445.0791598558426,3,binary-slo,True,55.997890078768926,186.54093649238348,small_light
True,1,P,production-trigger-small_light-attempt-1-binary-slo-P-0,12.79796552658081,1580.3998362720013,1500,,mean_request_energy_j,probe_candidate_aggregated,0,"[[128, 48], [160, 64], [200, 80]]",p95,479.1844154397647,128.80850987622284,900,production-trigger-small_light-attempt-1-binary-slo-P-0,,11.156980752944946,1437.553246319294,3,binary-slo,True,55.998003254697245,189.06598715111613,small_light
True,1,D,production-trigger-small_light-attempt-1-binary-slo-D-7,12.468081712722778,1459.3897780925035,975,,mean_request_energy_j,probe_candidate_aggregated,7,"[[128, 48], [160, 64], [200, 80]]",p95,453.1754419505596,120.29419991350697,900,production-trigger-small_light-attempt-1-binary-slo-D-7,,11.295686960220337,1359.5263258516788,3,binary-slo,True,56.738361251914355,191.39778583776206,small_light
True,1,D,production-trigger-small_light-attempt-1-binary-slo-D-3,12.669207334518433,1465.055317670107,675,,mean_request_energy_j,probe_candidate_aggregated,3,"[[128, 48], [160, 64], [200, 80]]",p95,454.60595004757243,118.93996377805733,900,production-trigger-small_light-attempt-1-binary-slo-D-3,,11.4578378200531,1363.8178501427174,3,binary-slo,True,57.548324285861554,195.20516509655863,small_light
True,1,D,production-trigger-small_light-attempt-1-binary-slo-D-1,12.846842765808105,1476.5843711197376,525,,mean_request_energy_j,probe_candidate_aggregated,1,"[[128, 48], [160, 64], [200, 80]]",p95,457.33106863250333,118.30742276386566,900,production-trigger-small_light-attempt-1-binary-slo-D-1,,11.591229438781738,1371.99320589751,3,binary-slo,True,58.320309441083445,191.30613319575787,small_light
True,1,D,production-trigger-small_light-attempt-1-binary-slo-D-0,12.91243600845337,1474.3408861532807,450,,mean_request_energy_j,probe_candidate_aggregated,0,"[[128, 48], [160, 64], [200, 80]]",p95,457.91547307372093,117.31235348302027,900,production-trigger-small_light-attempt-1-binary-slo-D-0,,11.7135329246521,1373.7464192211628,3,binary-slo,True,58.940901734445355,194.16378748137504,small_light
True,1,D,production-trigger-small_light-attempt-1-energy-refine-D-6,12.543741464614868,1459.9257041439414,900,,mean_request_energy_j,probe_candidate_aggregated,6,"[[128, 48], [160, 64], [200, 80]]",p95,452.4789305354158,119.6728006592504,900,production-trigger-small_light-attempt-1-energy-refine-D-6,,11.329358577728271,1357.4367916062474,3,energy-refine,True,56.90674420433246,191.6669557802379,small_light
True,1,D,production-trigger-small_light-attempt-1-energy-refine-D-8,12.527077436447144,1471.5930443406105,1050,,mean_request_energy_j,probe_candidate_aggregated,8,"[[128, 48], [160, 64], [200, 80]]",p95,455.58974646031857,121.03956706280127,900,production-trigger-small_light-attempt-1-energy-refine-D-8,,11.273557901382446,1366.7692393809557,3,energy-refine,True,56.58144550692247,193.07045047171414,small_light
True,1,D,production-trigger-small_light-attempt-1-energy-refine-D-5,12.595182657241821,1466.7903741300106,825,,mean_request_energy_j,probe_candidate_aggregated,5,"[[128, 48], [160, 64], [200, 80]]",p95,455.2627510602276,120.05273761431381,900,production-trigger-small_light-attempt-1-energy-refine-D-5,,11.377031326293945,1365.7882531806827,3,energy-refine,True,57.088071757745844,194.53623506706208,small_light
False,1,,production-trigger-small_light-attempt-1-confirm,12.54468560218811,1470.2629425525665,900,,mean_request_energy_j,probe_candidate_aggregated,,"[[128, 48], [160, 64], [200, 80]]",p95,457.2646773656209,121.12484481448416,900,production-trigger-small_light-attempt-1-confirm,,11.334367036819458,1371.7940320968628,3,confirmation,True,56.92405465216126,195.60968030709773,small_light
True,1,P,production-trigger-balanced_medium-attempt-1-binary-slo-P-8,25.545798778533936,3262.6325375810266,1500,,mean_request_energy_j,probe_candidate_aggregated,8,"[[384, 96], [512, 128], [640, 160]]",p95,990.58999975274,133.92289036480003,1710,production-trigger-balanced_medium-attempt-1-binary-slo-P-8,,22.181671142578125,2971.76999925822,3,binary-slo,True,56.54098951063918,237.88340587634593,balanced_medium
True,1,P,production-trigger-balanced_medium-attempt-1-binary-slo-P-3,23.278940439224243,3038.730700440705,1500,,mean_request_energy_j,probe_candidate_aggregated,3,"[[384, 96], [512, 128], [640, 160]]",p95,981.851934308807,132.56000417622195,1200,production-trigger-balanced_medium-attempt-1-binary-slo-P-3,,22.215038299560547,2945.555802926421,3,binary-slo,True,56.538054899491314,261.8997722165659,balanced_medium
True,1,P,production-trigger-balanced_medium-attempt-1-binary-slo-P-1,23.31027054786682,3033.099145554006,1500,,mean_request_energy_j,probe_candidate_aggregated,1,"[[384, 96], [512, 128], [640, 160]]",p95,980.4256576895714,132.20822882784478,1005,production-trigger-balanced_medium-attempt-1-binary-slo-P-1,,22.24587893486023,2941.276973068714,3,binary-slo,True,56.54176633508663,267.8987123304978,balanced_medium
True,1,P,production-trigger-balanced_medium-attempt-1-binary-slo-P-0,23.312217235565186,3029.2674416974187,1500,,mean_request_energy_j,probe_candidate_aggregated,0,"[[384, 96], [512, 128], [640, 160]]",p95,980.7221328690648,132.07982513645388,900,production-trigger-balanced_medium-attempt-1-binary-slo-P-0,,22.270368576049805,2942.1663986071944,3,binary-slo,True,56.54022786445288,277.47396156191826,balanced_medium
True,1,P,production-trigger-balanced_medium-attempt-1-energy-refine-P-2,23.48591637611389,3064.867728717625,1500,,mean_request_energy_j,probe_candidate_aggregated,2,"[[384, 96], [512, 128], [640, 160]]",p95,985.4610457619032,133.034728302651,1110,production-trigger-balanced_medium-attempt-1-energy-refine-P-2,,22.22764563560486,2956.3831372857094,3,energy-refine,True,56.539603370780604,262.62633099686354,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-7,25.00652813911438,2985.6339599862695,975,,mean_request_energy_j,probe_candidate_aggregated,7,"[[384, 96], [512, 128], [640, 160]]",p95,926.292583865424,122.86219909349414,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-7,,22.614150047302246,2778.877751596272,3,binary-slo,True,57.552368052585635,268.0202473187819,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-3,24.233014345169067,2898.3338884413242,675,,mean_request_energy_j,probe_candidate_aggregated,3,"[[384, 96], [512, 128], [640, 160]]",p95,931.7651585961381,121.36659308490273,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-3,,23.02725076675415,2795.2954757884145,3,binary-slo,True,58.721222913184924,270.4987336182967,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-1,24.628282070159912,2924.079815901816,525,,mean_request_energy_j,probe_candidate_aggregated,1,"[[384, 96], [512, 128], [640, 160]]",p95,941.183179092904,120.48344498017632,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-1,,23.42814064025879,2823.549537278712,3,binary-slo,True,59.838119231205546,273.18497414235026,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-0,24.971616506576538,2945.06157566607,450,,mean_request_energy_j,probe_candidate_aggregated,0,"[[384, 96], [512, 128], [640, 160]]",p95,947.7232093165318,119.77327160635673,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-0,,23.73489284515381,2843.1696279495955,3,binary-slo,True,60.71021105886439,272.5475609768182,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-energy-refine-D-6,23.874107599258423,2867.7140336483717,900,,mean_request_energy_j,probe_candidate_aggregated,6,"[[384, 96], [512, 128], [640, 160]]",p95,922.696537360549,122.00581936473618,1005,production-trigger-balanced_medium-attempt-1-energy-refine-D-6,,22.69188380241394,2768.089612081647,3,energy-refine,True,57.80324156423349,270.6879938719794,balanced_medium
