window_id,workload,phase,axis,repeat,confirmation_attempt,P0_frequency_mhz,P1_frequency_mhz,D0_frequency_mhz,D1_frequency_mhz,configured_max_concurrency,observed_peak_concurrency,concurrency_valid,dispatch_mode,closed_loop_batch_size,client_queue_valid,max_client_queue_delay_ms,p99_client_queue_delay_ms,nominal_trace_rate_rps,offered_rate_rps,achieved_throughput_rps,slo_goodput_rps,joules_per_request,p99_ttft_ms,p99_tpot_ms,slo_violation_count,measurement_valid,route_valid,route_distribution_json,internal_clock_valid,independent_clock_match_min_fraction,independent_clock_valid
001-global_warmup-warmup-r01,global_warmup,warmup,,1,0,2520,2520,1500,1500,2,2,True,closed_loop_batches,2,True,0.0553131103515625,0.0553131103515625,4.0,,1.8087608034925873,1.5826657030560138,156.13049999999998,683.1960910349153,56.63743179757148,2,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
002-small_light-baseline_high-r01,small_light,baseline_high,,1,0,2520,2520,1500,1500,2,2,True,closed_loop_batches,2,True,0.012636184692382812,0.012636184692382812,1.0,,0.5400669591355937,0.5400669591355937,543.3850625,174.6073780232109,56.00409377791313,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
003-small_light-baseline_high-r02,small_light,baseline_high,,2,0,2520,2520,1500,1500,2,2,True,closed_loop_batches,2,True,0.03337860107421875,0.03337860107421875,1.0,,0.5379833927944246,0.5379833927944246,546.956375,193.3703090180643,56.050513063498315,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
004-small_light-baseline_high-r03,small_light,baseline_high,,3,0,2520,2520,1500,1500,2,2,True,closed_loop_batches,2,True,0.08153915405273438,0.08153915405273438,1.0,,0.5380040690823991,0.5380040690823991,548.6083125,191.03231199551374,56.03899211079503,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
005-small_light-P_search-r01,small_light,P_search,P,1,0,1710,1710,1500,1500,2,2,True,closed_loop_batches,2,True,0.03719329833984375,0.03719329833984375,1.0,,0.5368361679632094,0.5368361679632094,487.72837499999997,201.5702470089309,56.0737457301926,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
006-small_light-P_search-r02,small_light,P_search,P,2,0,1710,1710,1500,1500,2,2,True,closed_loop_batches,2,True,0.014781951904296875,0.014781951904296875,1.0,,0.5356604992536146,0.5356604992536146,488.7584375,202.77969597373158,56.12676966628651,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
007-small_light-P_search-r01,small_light,P_search,P,1,0,1305,1305,1500,1500,2,2,True,closed_loop_batches,2,True,0.022172927856445312,0.022172927856445312,1.0,,0.5351944987230917,0.5351944987230917,485.0515625,206.60650898935273,56.15970133323341,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
008-small_light-P_search-r02,small_light,P_search,P,2,0,1305,1305,1500,1500,2,2,True,closed_loop_batches,2,True,0.0133514404296875,0.0133514404296875,1.0,,0.5359400227681334,0.5359400227681334,485.000625,207.12504599941894,56.0379406032596,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
009-small_light-P_search-r01,small_light,P_search,P,1,0,1110,1110,1500,1500,2,2,True,closed_loop_batches,2,True,0.03504753112792969,0.03504753112792969,1.0,,0.5353185396256653,0.5353185396256653,483.2715625,214.06572504201904,56.020869285843915,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
010-small_light-P_search-r02,small_light,P_search,P,2,0,1110,1110,1500,1500,2,2,True,closed_loop_batches,2,True,0.03409385681152344,0.03409385681152344,1.0,,0.5363582393405087,0.5363582393405087,483.04724999999996,201.34608302032575,56.018973571351836,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
011-small_light-P_search-r01,small_light,P_search,P,1,0,1005,1005,1500,1500,2,2,True,closed_loop_batches,2,True,0.03266334533691406,0.03266334533691406,1.0,,0.5355890161099939,0.5355890161099939,482.420625,204.50179401086643,56.05667652395953,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
012-small_light-P_search-r02,small_light,P_search,P,2,0,1005,1005,1500,1500,2,2,True,closed_loop_batches,2,True,0.014781951904296875,0.014781951904296875,1.0,,0.5353913643892068,0.5353913643892068,481.2004375,212.18841499648988,56.052304698996956,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
013-small_light-P_search-r01,small_light,P_search,P,1,0,900,900,1500,1500,2,2,True,closed_loop_batches,2,True,0.030279159545898438,0.030279159545898438,1.0,,0.5348584962108368,0.5348584962108368,479.0193125,214.27354001207277,56.067727079304554,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
014-small_light-P_search-r02,small_light,P_search,P,2,0,900,900,1500,1500,2,2,True,closed_loop_batches,2,True,0.015735626220703125,0.015735626220703125,1.0,,0.5347129729937411,0.5347129729937411,480.916375,215.41364496806636,56.05309609497439,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
015-small_light-D_search-r01,small_light,D_search,D,1,0,900,900,975,975,2,2,True,closed_loop_batches,2,True,0.07748603820800781,0.07748603820800781,1.0,,0.5280727593497864,0.5280727593497864,453.641375,215.5773679842241,56.75805850778633,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
016-small_light-D_search-r02,small_light,D_search,D,2,0,900,900,975,975,2,2,True,closed_loop_batches,2,True,0.01811981201171875,0.01811981201171875,1.0,,0.5281676596704189,0.5281676596704189,450.930125,216.32487000897527,56.79416753968874,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
017-small_light-D_search-r01,small_light,D_search,D,1,0,900,900,675,675,2,2,True,closed_loop_batches,2,True,0.02384185791015625,0.02384185791015625,1.0,,0.5220468812880691,0.5220468812880691,453.6953125,213.18808995420113,57.52182417523323,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
018-small_light-D_search-r02,small_light,D_search,D,2,0,900,900,675,675,2,2,True,closed_loop_batches,2,True,0.012159347534179688,0.012159347534179688,1.0,,0.5221022799886883,0.5221022799886883,452.2388125,212.92202098993585,57.520652222188396,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
019-small_light-D_search-r01,small_light,D_search,D,1,0,900,900,525,525,2,2,True,closed_loop_batches,2,True,0.013113021850585938,0.013113021850585938,1.0,,0.5152835290229435,0.5152835290229435,456.795125,232.10021300474182,58.246665270186014,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
020-small_light-D_search-r02,small_light,D_search,D,2,0,900,900,525,525,2,2,True,closed_loop_batches,2,True,0.0152587890625,0.0152587890625,1.0,,0.5158068776521346,0.5158068776521346,455.917875,210.59900900581852,58.26160711114339,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
021-small_light-D_search-r01,small_light,D_search,D,1,0,900,900,450,450,2,2,True,closed_loop_batches,2,True,0.030517578125,0.030517578125,1.0,,0.5106998878800334,0.5106998878800334,458.1606875,216.15987899713218,58.90086363531679,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
022-small_light-D_search-r02,small_light,D_search,D,2,0,900,900,450,450,2,2,True,closed_loop_batches,2,True,0.032901763916015625,0.032901763916015625,1.0,,0.5111873582742194,0.5111873582742194,458.55162499999994,209.16255400516093,58.900146254537894,0,True,True,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}",True,0.0,False
